Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
"Former chairman/director/president of THC Miami Restaurant Hospitality Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,THC Miami Restaurant Hospitality Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of THC Qatar Hotel Manager LLC, which reportedly was dissolved on Jan. 26, 2017. Pres. Trump held an ownership interest in the company at the time. ",Donald Trump,THC Qatar Hotel Manager LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former chairman/director/president of THC Qatar Hotel Manager Member Corp., which reportedly was dissolved on Jan. 26, 2017. Pres. Trump held an ownership interest in the company at the time. ",Donald Trump,THC Qatar Hotel Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former member/president of the now-dormant or inactive THC Rio Manager LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,THC Rio Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former chairman/director/president of the now-dormant or inactive THC Rio Managing Member Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,THC Rio Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of THC Sales & Marketing LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,THC Sales & Marketing LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former chairman/director/president of THC Sales & Marketing Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,THC Sales & Marketing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive THC Services Shenzhen LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,THC Services Shenzhen LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former chairman/director/president of the now-dormant or inactive THC Services Shenzhen Member Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,THC Services Shenzhen Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive THC Shenzhen Hotel Manager LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,THC Shenzhen Hotel Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former chairman/director/president of the now-dormant or inactive THC Shenzhen Hotel Manager Member Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,THC Shenzhen Hotel Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former chairman/director/president of THC Vancouver Management Corp., of which Pres. Trump retains an ownership interest. ",Donald Trump,THC Vancouver Management Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/president of THC Vancouver Payroll ULC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and provides back office support functions to other entities. ",Donald Trump,THC Vancouver Payroll ULC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former member/president of THC Venture I LLC. The company is reportedly dormant or inactive. Trump retains an ownership interest.,Donald Trump,THC Venture I LLC ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former chairman/director/president of THC Venture I Managing Member Corp. The company is reportedly dormant or inactive. Trump retains an ownership interest. ,Donald Trump,THC Venture I Managing Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former member/president of THC Venture II LLC. The company is reportedly dormant or inactive. Trump retains an ownership interest.,Donald Trump,THC Venture II LLC ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former chairman/director/president of THC Venture II Managing Member Corp. The company is reportedly dormant or inactive. Trump retains an ownership interest.,Donald Trump,THC Venture II Managing Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of THC Venture III LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,THC Venture III LLC (N/K/A TTTT Venture LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former chairman/director/president of THC Venture III Managing Member Corp. - N/K/A TTTT Venture Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,THC Venture III Managing Member Corp. - N/K/A TTTT Venture Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of The Caribusiness RE Corp., in which Pres. Trump retains an ownership interest.",Donald Trump,The Caribusiness RE Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former manager of the now-dormant or inactive The Donald J. Trump Company LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,The Donald J. Trump Company LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"The Donald J. Trump Foundation received $150,000 from the Victor Pinchuk Foundation and Yalta European Strategy (YES) — an NGO founded by Mr. Pinchuk — for a video speech Trump made in September 2015.",Donald Trump,The Donald J. Trump Foundation,BuzzFeed,22-Nov-16,,,,,active,,5-Jul-17
"Former director of The Donald J. Trump Foundation, Inc., the current activity status and control structures of which are not reported. ",Donald Trump,"The Donald J. Trump Foundation, Inc.",Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
"Former trustee of The Donald J. Trump Grantor Trust. In Pres. Trump's 2017 financial disclosure, it was clarified that Pres. Trump is the Trustee Successor, and Donald Trump Jr. is the Trustee. Its current activity status and control structures are not reported. ",Donald Trump,The Donald J. Trump Grantor Trust,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former trustee of The Donald J. Trump Revocable Trust, which was established to hold Trump's exclusive assets. Its trustees as of Jan. 17, 2017, were Donald Trump Jr. and Trump Organization CFO Allen Weisselberg. Pres. Trump may withdraw money and underlying assets from the revocable trust as he pleases. ",Donald Trump,The Donald J. Trump Revocable Trust,ProPublica,4-Apr-17,Office of Government Ethics,14-Jun-17,,,active,,5-Jul-17
"Former partner in The East 61 St. Company, LP., in which Pres. Trump retains an ownership interest.",Donald Trump,"The East 61 St. Company, LP.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former trustee of The Fred C. Trump December 16, 1976 Trust- F/B/O Donald J. Trump. Its current activity status and ownership structure are not reported. ",Donald Trump,"The Fred C. Trump December 16, 1976 Trust- F/B/O Donald J. Trump. ",Office of Government Ethics,14-Jun-17,,,,,active,"Although Pres. Trump resigned his position from this trust, it is designated for his own benefit. Therefore, it is marked as a confirmed conflict. ",5-Jul-17
"Former trustee of The Fred C. Trump December 16, 1976 Trust- F/B/O Elizabeth J. Trump. Its current activity status and control structures are not reported. ",Donald Trump,"The Fred C. Trump December 16, 1976 Trust- F/B/O Elizabeth J. Trump",Office of Government Ethics,14-Jun-17,,,,,active,"Because this trust is designated for the benefit of an immediate family member of Pres. Trump, it is marked as a confirmed conflict. ",5-Jul-17
"Former trustee of The Fred C. Trump December 16, 1976 Trust- F/B/O Robert S. Trump. Its current activity status and control structures are not reported. ",Donald Trump,"The Fred C. Trump December 16, 1976 Trust- F/B/O Robert S. Trump",Office of Government Ethics,14-Jun-17,,,,,active,"Because this trust is designated for the benefit of an immediate family member of Pres. Trump, it is marked as a confirmed conflict. ",5-Jul-17
"Former board member of The Police Athletic League, Inc., which also has been a notable beneficiary of charitable giving from the Donald J. Trump Foundation.",Donald Trump,"The Police Athletic League, Inc.",Office of Government Ethics,14-Jun-17,Forbes,9-Feb-17,,,potential,"Pres. Trump no longer holds a position with this organization that has donated so consistently to his nonprofit; nonetheless, due to the longstanding nature of that connection and the lack of clarity about the foundation's current activity status, this is marked as ""unclear."" ",5-Jul-17
"Former director/president/chairman of The Trump Corporation, of which Pres. Trump retains an ownership interest. ",Donald Trump,The Trump Corporation,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former member of The Trump Entrepreneur Initiative LLC (f/k/a Trump University CA LLC). Trump retains an ownership interest. ,Donald Trump,The Trump Entrepreneur Initiative LLC (f/k/a Trump University CA LLC) ,Office of Government Ethics,14-Jun-17,Washington Post,18-Nov-16,,,active,,5-Jul-17
"Trump retains an ownership interest in The Trump Entrepreneur Initiative LLC (NY Domestic), which reportedly has no independent value or income and is part of other entity structures. The company is not listed as an entity outside of federal government in which he holds a position. ",Donald Trump,The Trump Entrepreneur Initiative LLC (NY Domestic),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former partner in The Trump Equitable Fifth Avenue Company, of which Pres. Trump retains an ownership interest. ",Donald Trump,The Trump Equitable Fifth Avenue Company,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member and president of the now-dormant or inactive The Trump Follies LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,The Trump Follies LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
